id,input,output,note,label
146,Cause a zone outage in us-east-1a for 20 seconds,krknctl run zone-outages --cloud-type aws --duration 20 --vpc-id vpc-12345 --subnet-id subnet-12345 --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY>,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with valid AWS credentials,zone-outages
147,Run service chaos targeting pods labeled app=api in namespace test,krknctl run service-disruption-scenarios --namespace test --label-selector app=api,,service-disruption-scenarios
148,Deploy a memory hog experiment with 512m consumption and 2 workers,krknctl run node-memory-hog --memory-consumption 512m --memory-workers 2,,node-memory-hog
149,Give me the krknctl command to run container chaos in kube-system with telemetry and Cerberus,krknctl run container-scenarios --namespace kube-system --label-selector k8s-app=kube-dns --container-name kube-dns --telemetry-enabled True --cerberus-enabled True,,container-scenarios
150,Execute stop-start kubelet for 5 minutes,krknctl run node-scenarios --action stop_start_kubelet_scenario --duration 300,,node-scenarios
151,Run disk pressure scenario with health checks enabled,krknctl run node-io-hog --chaos-duration 180 --io-block-size 4k --namespace production --health-check-url https://cluster-api.example.com/health --health-check-auth basic:admin:secret --health-check-exit on-failure,,node-io-hog
152,Run pod network filter with ingress and egress for 20 seconds on port 443,krknctl run pod-network-filter --ingress True --egress True --ports 443 --chaos-duration 20,,pod-network-filter
153,Run memory pressure test for 90 seconds with 512m consumption,krknctl run node-memory-hog --chaos-duration 90 --memory-consumption 512m --node-selector node-role.kubernetes.io/worker= --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the desired namespace,node-memory-hog
154,I need to delete pods in prod with node filtering,"krknctl run pod-scenarios --namespace production --node-names node1,node2 --pod-label app=web",,pod-scenarios
155,Execute app outage in namespace dev for 30 seconds and push to ES,krknctl run application-outages --namespace dev --pod-selector '{app: frontend}' --chaos-duration 30 --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-username user --es-password pass --es-metrics-index dev-metrics --es-alerts-index dev-alerts,,application-outages
156,Run disk pressure with metrics and alert reporting,krknctl run node-io-hog --chaos-duration 180 --io-write-bytes 25m --namespace monitoring --prometheus-url http://prometheus:9090 --alerts-path /custom/alerts.json,,node-io-hog
157,Run PVC fill in the namespace named monitoring,krknctl run pvc-scenario --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the target namespace,pvc-scenarios
158,Execute container disruption for pods with label app=api in default namespace,krknctl run container-scenarios --namespace default --label-selector app=api,,container-scenarios
159,How do I run pod network chaos in the kube-system namespace that excludes pods labeled with release=stable?,krknctl run pod-network-chaos --namespace kube-system --exclude-label release=stable,,pod-network-chaos
160,Shut down the cluster and validate its recovery with health check using basic auth,krknctl run power-outages --shutdown-duration 900 --cloud-type vmware --health-check-url https://internal.example.com/health --health-check-auth user:pass,,power-outages
161,Generate memory pressure on nodes with node-role=worker,krknctl run node-memory-hog --chaos-duration 90 --memory-consumption 50% --node-selector node-role.kubernetes.io/worker= --namespace <TARGET_NAMESPACE>,Replace <TARGET_NAMESPACE> with the desired namespace,node-memory-hog
162,Block network traffic on node eth0 with health checks enabled,krknctl run node-network-filter --interfaces eth0 --ingress True --egress True --ports 80 --health-check-url http://status.example.com/alive --health-check-interval 15 --health-check-bearer-token <TOKEN>,Replace <TOKEN> with the actual bearer token,node-network-filter
163,Skew date on nodes labeled with node-role.kubernetes.io/worker,krknctl run time-scenarios --object-type node --label-selector node-role.kubernetes.io/worker --action skew_date --enable-es True --es-server http://localhost:9200 --es-port 9200 --es-username elastic --es-password changeme --es-metrics-index worker-metrics --es-telemetry-index worker-telemetry,,time-scenarios
164,Execute container chaos for pods on node labeled k8s.io/role=worker,krknctl run container-scenarios --node-selector k8s.io/role=worker,,container-scenarios
165,Execute container scenario with daemon mode in namespace dev,krknctl run container-scenarios --daemon-mode True --namespace dev,,container-scenarios
166,Gimme the command to run memory pressure on nodes with label app=web for 300 seconds,krknctl run node-memory-hog --chaos-duration 300 --node-selector app=web,,node-memory-hog
167,Execute network filter on nodes to block ingress and egress traffic with custom protocols,"krknctl run node-network-filter --ingress True --egress True --ports 80 --protocols udp,tcp --chaos-duration 60 --namespace infra --enable-es True --es-server http://elasticsearch.prod.com --es-port 9200 --es-username elastic --es-password secret --es-metrics-index node-filter",,node-network-filter
168,Give me the krknctl command to simulate AZ disruption,krknctl run zone-outages --zone eu-central-1 --duration 20,,zone-outages
169,"Set up a continuous network ingress test with 50ms latency and 2% packet loss, run it in daemon mode","krknctl run network-chaos --traffic-type ingress --network-params '{latency: 50ms, loss: 0.02}' --daemon-mode parallel --duration 300",,network-chaos
170,I want to delete a VMI and capture alerts with prometheus,krknctl run kubevirt-outage --namespace default --vm-name my-vm --prometheus-url http://localhost:9090 --enable-alerts true,,kubevirt-outage
171,need network filter for pod in kube-system,krknctl run pod-network-filter --ingress True --egress False --ports 22 --pod-selector app=monitoring --namespace kube-system,,pod-network-filter
172,Execute node stop-start for nodes labeled with role=worker and enable health check,krknctl run node-scenarios --action node_stop_start_scenario --label-selector node-role=worker --health-check-url http://internal.node/health --health-check-verify False,,node-scenarios
173,I want to test zone failure in AWS with 20% CPU usage,krknctl run zone-outages --cloud-type aws --aws-access-key-id <AWS_ACCESS_KEY_ID> --aws-secret-access-key <AWS_SECRET_ACCESS_KEY> --subnet-id subnet-12345678 --zone us-east-1a --duration 120,Replace <AWS_ACCESS_KEY_ID> and <AWS_SECRET_ACCESS_KEY> with actual AWS credentials,zone-outages
174,"Execute a disruptive kubevirt scenario in the infra namespace with telemetry, Cerberus, and ES logging.",krknctl run kubevirt-outage --namespace infra --vm-name infra-vm --timeout 90 --telemetry-enabled True --telemetry-api-url https://telemetry.example.com --cerberus-enabled True --cerberus-url https://cerberus.example.com --es-server http://elasticsearch:9200 --es-port 9200,,kubevirt-outage
175,Execute a network filter that blocks both ingress and egress on port 2379 in namespace production,krknctl run node-network-filter --ingress True --egress True --ports 2379 --namespace production,,node-network-filter
176,Filter network on nodes with selector node-role.kubernetes.io/worker= for 10 minutes,krknctl run node-network-filter --ingress True --egress True --node-selector node-role.kubernetes.io/worker= --chaos-duration 600,,node-network-filter
177,Spin up a node reboot operation for nodes matching the label kubernetes.io/hostname=node3,krknctl run node-scenarios --action node_reboot_scenario --label-selector kubernetes.io/hostname=node3,,node-scenarios
178,"Execute service hijacking in daemon mode, using custom metrics and setting iterations to 10",krknctl run service-hijacking --scenario-file-path <PLACEHOLDER> --daemon-mode True --metrics-profile <PLACEHOLDER> --iterations 10,Replace <PLACEHOLDER> with actual paths to scenario file and metrics profile,service-hijacking
179,"Run service hijacking with enhanced observability using ES, telemetry, and alerting in production",krknctl run service-hijacking --scenario-file-path <SCENARIO_FILE_PATH> --enable-es True --es-server https://elasticsearch.prod.example.com --es-port 9200 --es-username admin --es-password <ES_PASSWORD> --telemetry-enabled True --telemetry-api-url https://telemetry.prod.example.com --enable-alerts True --alerts-profile /alerts/prod-alerts.yaml --distribution kubernetes,Replace <SCENARIO_FILE_PATH> with the actual path to the scenario file and <ES_PASSWORD> with actual password,service-hijacking
180,Perform container disruption in namespace infra with node selector region=eu-west,krknctl run container-scenarios --namespace infra --node-selector region=eu-west,,container-scenarios
181,Run the CPU hog scenario for 300 seconds with daemon mode on nodes labeled node-role=worker,krknctl run node-cpu-hog --chaos-duration 300 --cpu-percentage 85 --node-selector node-role.kubernetes.io/worker= --detached true,,node-cpu-hog
182,What's the syntax for service disruption with 90 seconds duration?,krknctl run service-disruption-scenarios --runs 3 --namespace test,,service-disruption-scenarios
183,Block traffic to pods labeled app=frontend in namespace dev for 120 seconds,krknctl run application-outages --namespace dev --pod-selector '{app: frontend}' --chaos-duration 120,,application-outages
184,"Execute container chaos with daemon mode enabled, targeting namespace test and label selector app=web",krknctl run container-scenarios --daemon-mode True --namespace test --label-selector app=web,,container-scenarios
185,"Execute node outage with full metrics capture, health checks and alerts",krknctl run node-scenarios-bm --scenario-file-path <SCENARIO_FILE_PATH> --capture-metrics True --health-check-interval 45 --enable-alerts True --alerts-path /alerts.json --prometheus-url http://prometheus.internal:9090,Replace <SCENARIO_FILE_PATH> with the actual path to your base64-encoded scenario file,node-scenarios-bm
186,We need to execute the node outage for bare metal using base64 file,krknctl run node-scenarios-bm --scenario-file-path /path/to/scenario-base64.txt,,node-scenarios-bm
187,Reboot node worker-1 and log everything to Elasticsearch,krknctl run node-scenarios --action node_reboot_scenario --node-name worker-1 --enable-es True --es-server https://elasticsearch.internal:9200 --es-port 9200 --es-username elastic --es-password secret --es-metrics-index reboot-worker1,,node-scenarios
